share_agricultural_use_1995,share_agricultural_use_2008,share_agricultural_use_2017,site_area_ha,share_amazon_biome,share_forest_1995,share_forest_2008,share_forest_2017,share_other_1995,share_other_2008,share_other_2017,id,z_1995,z_2008,z_2017,area_amazon_biome,area_forest_1995,area_forest_2008,area_forest_2017,area_other_1995,area_other_2008,area_other_2017,zbar_1995,zbar_2008,zbar_2017,gamma,alpha,delta,kappa,zeta,zeta_alt,x_1995,x_2008,x_2017,mean_pa_2017,theta,pasture_area_2017
0.0012090863892808557,0.001288493862375617,0.0013742222217842937,451912.59375,0.9946498870849609,0.9893746376037598,0.9903616905212402,0.9869580268859863,0.0041125924326479435,0.0030463209841400385,0.006363654509186745,32,546.4013662477337,582.2866033771206,621.0283286354279,449494.8103457093,447110.85866998136,447556.92031408846,446018.7618524283,1858.5323132745543,1376.6708173377774,2875.815614975465,447657.2600362291,448139.2069174656,446639.79018106376,560.9073924509113,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,250787785.87306717,251037985.14673564,250175220.69482955,44.973619778118355,0.15172661750233468,661.7263980298322
0.008709135465323925,0.0020304196514189243,0.005991111043840647,451912.59375,0.8549386858940125,0.6998856067657471,0.7229655385017395,0.7070372104644775,0.14659595489501953,0.1302291303873062,0.14219693839550018,33,3935.767997454648,917.572211073697,2707.4585312662966,386357.5590395797,316287.1198818013,326717.2316961866,319519.0196587667,66248.55820986629,58852.18409513449,64260.58725361945,320222.8878792559,327634.8039072603,322226.478190033,530.1664522883659,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,167684820.25223967,173214515.6298433,169398265.09114498,44.973619778118355,0.18000661523608721,8593.742812759067
0.004245925694704056,0.0011549629271030426,0.0013274074299260974,452143.9375,0.35223880410194397,0.3467442989349365,0.35059258341789246,0.34547773003578186,0.0017785679083317518,0.0010196543298661709,0.005963061936199665,34,1919.7695619359147,522.2094855268952,600.179222033541,159262.6398269441,156778.33262611926,158518.3111248631,156205.66117694043,804.1686971842573,461.03052359461435,2696.1623033896904,158698.10218805517,159040.52061039,156805.84039897396,825.8655821255506,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,129477828.93894319,130914817.29469422,129004879.29920043,44.973619778118355,0.7010133937461488,8914.657486032927
0.005014123395085335,5.009382730349898e-4,0.00217837025411427,452143.9375,0.8335474729537964,0.8233625888824463,0.8315553665161133,0.8240505456924438,0.0055891359224915504,0.0019128888379782438,0.007737876381725073,35,2267.1054949647514,226.49620321449038,984.9369040281017,376883.43651450425,372278.402927503,375982.7176658511,372589.4584284052,2527.0939232180244,864.9010912032827,3498.6338951214275,374545.50842246774,376209.2138690656,373574.39533243334,743.8819738194061,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,276931193.1800471,279686766.1392578,277162581.7600256,44.973619778118355,0.7991073945725836,12991.28488010485
0.0022200492676347494,4.2232099804095924e-4,5.179259460419416e-4,452143.9375,1,0.9954763650894165,0.998066782951355,0.9979379773139954,0.00230360496789217,0.0015109136002138257,0.001544098719023168,36,1003.7818173123669,190.9498789431691,234.17707657681603,452143.9375,450098.6033997163,451269.8451315835,451211.60644353554,1041.5610206273268,683.15042442298,698.1548747078414,451102.38521702867,451460.79501052666,451445.78352011234,686.7182218640862,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,309090912.59016174,309895225.6296426,309855232.0613426,44.973619778118355,0.7891582058316675,25172.125439630847
0.0013489383272826672,5.995061947032809e-4,0.0033473579678684473,452143.9375,1,0.9961554408073425,0.9967452883720398,0.9945284128189087,0.002495605032891035,0.0026552099734544754,0.002124246908351779,37,609.9142867422488,271.0630914287831,1513.4876118140382,452143.9375,450405.64336868003,450672.33936910704,449669.99252756685,1128.3726860161696,1200.537092286977,960.465361364375,451015.55765542225,450943.4024605358,451183.4801393809,682.4591581125718,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,307383456.18254066,307565465.310464,306881404.5288497,44.973619778118355,0.7831482553482687,26927.131509945768
0.05638439580798149,0.2387869656085968,0.3070765435695648,452143.9375,1,0.931191086769104,0.7387660145759583,0.6738724112510681,0.01242449413985014,0.02244701236486435,0.01905106194317341,38,25493.862734179245,107966.07885394804,138842.79752343334,452143.9375,421032.40453668684,334028.57472155616,304687.32539567724,5617.659701837518,10149.280555760954,8613.822160542826,446526.2672708661,441994.6535755042,443530.1229191106,679.784556739989,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,286211326.49114335,227067466.60558334,207121738.43839324,44.973619778118355,0.799329823503645,24090.77312711866
0.09372681379318237,0.20781096816062927,0.19341807067394257,452143.9375,1,0.5731014609336853,0.457440584897995,0.4870093762874603,0.3331717550754547,0.33474844694137573,0.3195725381374359,39,42378.01063777879,93960.46939983405,87452.80805816967,452143.9375,259124.3511335589,206828.9872280825,220198.33699403144,150641.5892036017,151354.48087208346,144492.7857103292,301502.3617713377,300789.45662791654,307651.1450522011,597.409067616983,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,154803237.00755513,123561512.41609363,131548483.19441453,44.973619778118355,0.6706077816681889,37814.08922082373
0.056216295808553696,0.12985342741012573,0.1436086893081665,452143.9375,1,0.652457058429718,0.5791338086128235,0.5617350935935974,0.2913266122341156,0.2910127341747284,0.2946561872959137,40,25417.857338544214,58712.439967084676,64931.798243008554,452143.9375,295004.5034480803,261851.84056557342,253985.11704934016,131721.5615540687,131579.6434924025,133227.0087327119,320422.3607866245,320564.2805326581,318916.9152923487,487.564762288854,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,143833800.59780467,127669730.4002527,123834193.2190683,44.973619778118355,0.4916188546846383,67177.05577172428
0.002641975414007902,0.005490962881594896,0.007088197395205498,452143.9375,0.19742420315742493,0.04258093982934952,0.03774340823292732,0.03359980136156082,0.15257441997528076,0.1545669138431549,0.1571156531572342,41,1194.5531664677255,2482.7055779506627,3204.8854800454574,89264.15657339804,19252.71379689267,17065.453213105677,15191.946486833971,68985.5990094021,69886.49303226732,71038.89006139617,20447.266963360395,19548.15879105634,18396.83196687943,466.89133536081744,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,8988925.253950851,7967712.239204462,7092988.181967991,44.973619778118355,0.6284447418369736,23722.81223383129
9.667160338722169e-4,2.2380247537512332e-4,4.574814811348915e-4,452143.9375,0.1809191107749939,0.1589493304491043,0.15988780558109283,0.15963298082351685,0.021462123841047287,0.02126637101173401,0.02128770388662815,42,437.09479399936754,101.19093243835505,206.84747821366182,81801.47911480442,71867.97613224667,72292.30197366979,72177.0845044069,9703.969180603744,9615.460725581273,9625.106255634106,72305.07092624603,72393.49290610815,72383.93198262056,524.3366077036559,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,37683010.80770952,37905500.379962325,37845087.64298082,44.973619778118355,0.34842234493508395,1277.9770891693474
