share_agricultural_use_1995,share_agricultural_use_2008,share_agricultural_use_2017,site_area_ha,share_amazon_biome,share_forest_1995,share_forest_2008,share_forest_2017,share_other_1995,share_other_2008,share_other_2017,area_amazon_biome,area_forest_1995,area_agricultural_use_1995,area_other_1995,area_forest_2017,area_agricultural_use_2017,area_other_2017,area_forest_2008,area_agricultural_use_2008,area_other_2008,id,z_1995,z_2008,z_2017,zbar_1995,zbar_2008,zbar_2017,gamma,alpha,delta,kappa,zeta,zeta_alt,x_1995,x_2008,x_2017,mean_pa_2017,theta,pasture_area_2017
0.019645432143306607,0.00594311104305234,0.007915654323710442,7237882.75,12.730015581473708,12.675465858541429,12.69569094479084,12.693163228221238,0.03697441975964466,0.03043950555365882,0.030990222006948898,5759354.721244918,5734672.889983708,8888.510282115107,16729.460512215457,5742680.18001024,3581.564117650438,14021.6069496156,5743823.523764481,2689.0719569762587,13772.77164364809,11,8888.510282115107,2689.0719569762587,3581.564117650438,5743561.400265823,5746512.595721457,5746261.74412789,529.2962598406144,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,3035340912.077744,3040184308.3130784,3039579140.7402463,44.973619778118355,0.45059538555050765,18965.886566480374
0.14503802536637522,0.20359941203787457,0.255644051489071,7237882.75,12.556533500552177,9.47448967397213,9.472558997571468,9.530449151992798,2.9386038314551115,2.882003938779235,2.772052589803934,5680500.729626546,4286047.399448391,65623.76988810046,1329552.4642426234,4311373.00561885,115672.09184089687,1254184.9858988062,4285171.196174035,92126.3267132915,1303940.052009554,12,65623.76988810046,92126.3267132915,115672.09184089687,4351671.169336491,4377297.522887327,4427045.0974597465,448.4153673587447,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,1921929519.1406426,1921536616.1274912,1933285910.1351516,44.973619778118355,0.28694755785191994,421454.4550594217
0.005159111218745238,8.758518342801835e-4,0.0018828641877917107,7240063.25,3.59946508705616,3.5645533427596092,3.568406715989113,3.5680554881691933,0.031605531521563535,0.032029826696089,0.03139634642047895,1628863.1683206079,1613067.634649431,2334.6524122988567,14299.35400777428,1614652.3087115476,852.1239077835021,14204.772125278814,1614811.267377392,396.38083880672826,14491.463352293897,13,2334.6524122988567,396.38083880672826,852.1239077835021,1615402.28706173,1615207.6482161987,1615504.4326193312,1021.6145985632635,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,1647933444.0277715,1649714764.6771889,1649552370.1835942,44.973619778118355,0.28110712206815647,10.230392523790377
0.003824592531145754,0.0035393580616300824,0.004833382630522465,7240063.25,16,15.650707304477692,15.645999312400818,15.641723692417145,0.3454619232797995,0.3504553099628538,0.35343683580867946,7240063.25,7082018.785021383,1730.731977394623,156310.93622226472,7077953.265329054,2187.0705355650616,159920.1583267684,7079887.911416559,1601.642833992539,158570.97142929447,14,1730.731977394623,1601.642833992539,2187.0705355650616,7083749.516998778,7081489.554250551,7080140.335864618,1012.4949730558518,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,7170508418.921262,7168350920.108159,7166392100.669918,44.973619778118355,0.27544439779991603,36.16820036547087
0.021114271041369648,0.0071028146958269645,0.017719308290907065,7240063.25,16,15.4130619764328,15.421750485897064,15.408551573753357,0.5658238022588193,0.5711466702632606,0.5737291815457866,7240063.25,6974476.528532641,9553.595906653825,256033.1480679174,6972434.30957008,8018.458580218519,259610.5106236478,6978407.961207584,3214.1674018399945,258441.1082000184,15,9553.595906653825,3214.1674018399945,8018.458580218519,6984030.124439294,6981622.1286094235,6980452.768150298,789.0316810760482,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,5503082939.933551,5506184964.866098,5501471564.472396,44.973619778118355,0.35775657775057995,158.56449457344598
0.015280395047739148,0.00950182707674685,0.05919170455672429,7240063.25,16,13.52995628118515,13.51304805278778,13.372254014015198,2.4547273125499487,2.4774139025248587,2.5685181505978107,7240063.25,6122250.421402628,6913.975517482221,1110882.5552697189,6050880.866205899,26785.505394957974,1162380.526448646,6114597.315427557,4299.707553017657,1121149.8358002892,16,6913.975517482221,4299.707553017657,26785.505394957974,6129164.39692011,6118897.0229805745,6077666.371600857,669.8962979729888,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,4101272892.561191,4096146105.2004957,4053462691.7469234,44.973619778118355,0.5925893524149598,8497.194212473934
0.04408908668119693,0.08705323522008257,0.14039368006342556,7240063.25,16,14.777787446975708,14.704124450683594,14.68854820728302,1.1781234443478752,1.2088223191094585,1.1710581886582077,7240063.25,6687055.940494332,19949.326940060622,533057.9726301639,6646675.889625769,63523.93014856061,529863.4646183274,6653725.046256848,39388.59514308008,546949.6108751446,17,19949.326940060622,39388.59514308008,63523.93014856061,6707005.267434393,6693113.641399927,6710199.81977433,553.0086852263948,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,3698000013.688124,3679567739.6884327,3675669494.8479247,44.973619778118355,0.7775418248642172,60978.657843231544
0.011145283877340262,0.011034271561584319,0.020269629827453173,7240063.25,16,15.878728091716766,15.875215530395508,15.868470907211304,0.1101266175537603,0.11375012053758837,0.11125945832463913,7240063.25,7185193.452413168,5042.880797766087,49826.91369110818,7180552.326021375,9171.070457588337,50339.85142779982,7183603.9400686305,4992.709074450317,51466.56578711374,18,5042.880797766087,4992.709074450317,9171.070457588337,7190236.333210934,7188596.649143081,7189723.396478963,508.34489381793946,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,3652556402.6283255,3651748382.1443195,3650197109.7254944,44.973619778118355,0.38303778875305555,50377.59478217316
0.5466613297103322,0.6447952549242473,0.7913400313846068,7240063.25,16,14.577305853366852,14.497657656669617,14.333006024360657,0.8760329797514714,0.8575470680370927,0.8756539179012179,7240063.25,6596428.851346124,247305.25044119387,396329.22189693345,6485907.560120631,357997.8998547132,396157.77810127253,6560398.3234897815,291698.97886114987,387965.93842740083,19,247305.25044119387,291698.97886114987,357997.8998547132,6843734.101787318,6852097.302350931,6843905.459975344,519.3112938027383,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,3425600001.2702665,3406888941.232794,3368205046.5312066,44.973619778118355,0.4163321829849886,236543.3613690462
0.47616136758733774,0.6947421132426825,0.8009882589431072,7240063.25,16,14.025281578302383,13.799571931362152,13.668532937765121,1.4985570590288262,1.5056859232136048,1.5304787941131508,7240063.25,6346686.913581203,215420.39391790857,677955.9447336223,6185279.827161125,362379.7711735249,692403.6475077332,6244576.615385316,314308.313656116,681178.3064052798,20,215420.39391790857,314308.313656116,362379.7711735249,6562107.307499112,6558884.929041432,6547659.59833465,497.24202002939245,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,3155839421.4032273,3105065890.462501,3075581035.704649,44.973619778118355,0.44987706926562365,166053.7116370259
0.1384290349087678,0.11317333337501623,0.21775230090133846,7240063.25,15.96275120973587,12.286442130804062,12.345053881406784,12.236119478940964,3.538015046156943,3.504658805206418,3.509012191556394,7223205.334513273,5559566.02542007,62643.76861605535,1601056.6397172958,5536804.762664495,98531.7254632279,1587928.9316536335,5586096.509457158,51210.952511630036,1585958.8849389798,21,62643.76861605535,51210.952511630036,98531.7254632279,5622209.794036125,5637307.461968788,5635336.488127723,406.64976313328634,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,2260796207.3609376,2271584822.410431,2251540345.2527685,44.973619778118355,0.5582929106072674,201174.76387597472
1.033149036258692,1.4172724981617648,1.5763097057351843,7240063.25,11.247177075594664,5.550219310447574,5.0924096796661615,4.946709490381181,4.665696972049773,4.739345922134817,4.726025898940861,5089068.908262608,2511180.019801412,467445.6453180646,2111297.8001720463,2238134.622930742,713183.2333392987,2138596.4566601487,2304055.0918010026,641228.0684513084,2144623.46131099,22,467445.6453180646,641228.0684513084,713183.2333392987,2978625.6651194766,2945283.1602523113,2951317.8562700404,371.43960681598344,0.045007413978564004,0.02,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,932751719.1991899,855817317.380929,831331844.3426341,44.973619778118355,0.7911594419457043,606094.8324469234
